"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @ipfconline1: How Do You Solve Your #BigData Problems?
#AI #MachineLearning #DataScience #CIO #CDO
#makeyourownlane #defstar5 #Mpgvip v/…",FALSE,0,NA,2017-08-05 04:08:56,FALSE,NA,"893685225422770176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joelfarvault",60,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/493083009017716737/jeBM8yBl_normal.jpeg"
"2","RT @ipfconline1: What's #CognitiveComputing?
v/ @IBM   
#AI #DL #IoT #Bigdata #Blockchain
#makeyourownlane #Mpgvip #defstar5 @jminguezc htt…",FALSE,0,NA,2017-08-05 04:08:44,FALSE,NA,"893685174680117249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joelfarvault",97,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/493083009017716737/jeBM8yBl_normal.jpeg"
"3","Erkan AYAN: What is #industry40?#CyberSecurity #robots #Bigdata #IoT #IIoT #AR #VR #CloudComputing #AI #ML #Machin… https://t.co/9zaMbXSLRv",FALSE,0,NA,2017-08-05 04:08:37,FALSE,NA,"893685146293030912",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","HydraVR",0,FALSE,FALSE,NA,NA,"Community of Madrid, Spain","en","http://pbs.twimg.com/profile_images/730388896161406976/2FY-Ekh2_normal.jpg"
"4","Apache Spark 2.0 with Scala - Hands On with Big Data! https://t.co/M2KETGecVt #Scala #Bigdata",FALSE,0,NA,2017-08-05 04:08:15,FALSE,NA,"893685056438386689",NA,"<a href=""https://twitter.com/DD_Serena_"" rel=""nofollow"">SR_DD_App_2</a>","DD_Serena_",0,FALSE,FALSE,NA,NA,"Melbourne Australia","en-gb","http://pbs.twimg.com/profile_images/835047192041684992/8dFkNWal_normal.jpg"
"5","How to make an intelligent chatbot. Read https://t.co/ZkkGusGBpD #cloud #data #BigData https://t.co/2DsgtGJIBz",FALSE,0,NA,2017-08-05 04:08:04,FALSE,NA,"893685008032034817",NA,"<a href=""https://statusbrew.com"" rel=""nofollow"">Statusbrew</a>","MarutiTech",1,FALSE,FALSE,NA,NA,"Ahmadabad City, India","en","http://pbs.twimg.com/profile_images/794103029901520897/u4MY2yHs_normal.jpg"
"6","RT @ErkanAYAN2013: #Future of #VR #AR &amp; #MR (#MixedReality) by @MikeQuindazzi
#BigData
#Cloud
#AI
#wearables
#DataScience
#machinelearning…",FALSE,0,NA,2017-08-05 04:07:58,FALSE,NA,"893684983382126592",NA,"<a href=""https://twitter.com/alevergara78"" rel=""nofollow"">realtimeApp_reactjs</a>","alevergara78",14,TRUE,FALSE,NA,NA,"Santiago, Chile","en","http://pbs.twimg.com/profile_images/477167045772312577/3q1ssMVN_normal.jpeg"
"7","RT @ipfconline1: 9 types of #innovation to drive #businessgrowth <U+2B07><U+FE0F> | #bigdata #contentmarketing #growthhacking via @blogalarm https://t.co…",FALSE,0,NA,2017-08-05 04:07:57,FALSE,NA,"893684978034278400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joelfarvault",54,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/493083009017716737/jeBM8yBl_normal.jpeg"
"8","RT @ErkanAYAN2013: #Future of #VR #AR &amp; #MR (#MixedReality) by @MikeQuindazzi
#BigData
#Cloud
#AI
#wearables
#DataScience
#machinelearning…",FALSE,0,NA,2017-08-05 04:07:38,FALSE,NA,"893684897713332224",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bibin_Alexander",14,TRUE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/893106494387871744/9ovNtD_7_normal.jpg"
"9","RT @arnabch01: #IoT #robotics #smartcities #3dp #5G #genomics #BigData #fintech #I40 #startup #SMB to boast #Germany #GDP #economy https://…",FALSE,0,NA,2017-08-05 04:07:35,FALSE,NA,"893684887089172482",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","YashkumarDepani",162,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/891560849688711168/UxRgOFaE_normal.jpg"
"10","Four senators call for minimum #security standards for #IoT connected #devices #BlockChain #IoT #BigData… https://t.co/h57PeruPmH",FALSE,1,NA,2017-08-05 04:07:31,TRUE,NA,"893684869934440448",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","CDWGWAGov",0,FALSE,FALSE,NA,NA,"Bellevue, WA","en","http://pbs.twimg.com/profile_images/828820308857466880/z7HQrG-6_normal.jpg"
"11","RT @arnabch01: By2025 #India #startup #SMB in #IoT #IOS #BigData #mobile #digital #cloud &gt; #USA 
https://t.co/EH7myiGNGu #hedgefund https:/…",FALSE,0,NA,2017-08-05 04:07:22,FALSE,NA,"893684831288262656",NA,"<a href=""https://www.arctoplabs.com"" rel=""nofollow"">Dushyant Tweet</a>","dushyantgadewal",72,TRUE,FALSE,NA,NA,"india","en","http://pbs.twimg.com/profile_images/885537406769799169/L2IBO0-V_normal.jpg"
"12","RT @IOTforSMB: Can US senators secure the Internet of Things? #IoT #SMB #BigData https://t.co/aM6hHN9wtP",FALSE,0,NA,2017-08-05 04:07:20,FALSE,NA,"893684821733642240",NA,"<a href=""https://www.arctoplabs.com"" rel=""nofollow"">Dushyant Tweet</a>","dushyantgadewal",6,TRUE,FALSE,NA,NA,"india","en","http://pbs.twimg.com/profile_images/885537406769799169/L2IBO0-V_normal.jpg"
"13","#Ecommerce #Businessplan
#Digital #Marketing #SMM #GrowthHacking #SEO #makeyourownlane #startups #biz #bigdata
<U+2764>RT https://t.co/sAtfPzS8l8",FALSE,0,NA,2017-08-05 04:07:14,FALSE,NA,"893684799491252224",NA,"<a href=""http://www.abc.com"" rel=""nofollow"">app2 created 4 ITSIN on Sociboom</a>","DigiPicki",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/866201145286447104/WTMcYbqs_normal.jpg"
